УКРАЇНА,none,
ВІННИЦЬКА,ChIJiy6tDP5UzUARsED2iIQGAQE,Л
ВОЛИНСЬКА,ChIJBYI5hgM0JEcRQED2iIQGAQE,П
ДНІПРОПЕТРОВСЬКА,ChIJoevoYl_c20ARlxgBvjfDzlk,С
ДОНЕЦЬКА,ChIJe9U9ohib30ARJEyiBAomT7o,С
ЖИТОМИРСЬКА,ChIJC9KIyxTxK0cRoED2iIQGAQE,П
ЗАКАРПАТСЬКА,ChIJDQKKqwsTOUcRLtC2-ZaZ5Fk,П
ЗАПОРІЗЬКА,ChIJ0U8jLBVn3EARjGp5k7-Oh-E,С
ІВАНО-ФРАНКІВСЬКА,ChIJHTiwNGzBMEcRn1rIHA4suJc,П
КІЇВСЬКА (БЕЗ М.КИЄВА),ChIJ94pF_F3O1EARB10ge68K4KY,Л
КІРОВОГРАДСЬКА,ChIJ_Y7vgK9C0EARlBkNFDXFp9g,С
ЛУГАНСЬКА,ChIJ8zUQQaAY4EARuDtkU2fs3IQ,С
ЛЬВІВСЬКА,ChIJb5xjPmndOkcRYj26h4iMDWM,П
МИКОЛАЇВСЬКА,ChIJydRVsbqaxUARLq1R8Q3RgpM,С
ОДЕСЬКА,ChIJaRSOmoExxkARxdd-tWjwax8,С
ПОЛТАВСЬКА,ChIJ5cdqFjh110ARcEH2iIQGAQE,Л
РІВНЕНСЬКА,ChIJERyljUNML0cRIED2iIQGAQE,П
СУМСЬКА,ChIJYaRz_CACKUER0KUajIxyN1A,Л
ТЕРНОПІЛЬСЬКА,ChIJZdKe1ltLMEcRUED2iIQGAQE,Л
ХАРКІВСЬКА,ChIJAfZeLutYJ0ERoEH2iIQGAQE,Л
ХЕРСОНСЬКА,ChIJh1TvTkORw0ARQEH2iIQGAQE,С
ХМЕЛЬНИЦЬКА,ChIJtbpfwCz5LUcRkED2iIQGAQE,Л
ЧЕРКАСЬКА,ChIJg26lOnZL0UARiu-AtokbRyg,Л
ЧЕРНІВЕЦЬКА,ChIJH2F-TOwINEcR3I8UhwBnFyw,Л
ЧЕРНІГІВСЬКА,ChIJT7SGL2DAKkERMEH2iIQGAQE,П
